epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,60.5779,1.93011,2.71503,1.01875,1.02712,0.87621,0.8536,0.89961,0.40123,0.78342,0.81264,0.84689,0.31493,1.90014,3.07885,1.10852,1.01919,0.00108532,0.00108532,0.00108532
41,61.8266,1.95941,2.60227,1.05331,1.00086,0.8717,0.90519,0.9415,0.46956,0.824,0.85249,0.89262,0.361,1.71036,2.5888,1.02517,0.99139,0.00111165,0.00111165,0.00111165
42,63.1421,1.77226,2.51908,1.02827,0.95611,0.8477,0.80879,0.89179,0.42492,0.77182,0.71274,0.75139,0.24752,1.81611,2.87463,1.06472,1.00559,0.00113793,0.00113793,0.00113793
43,64.4244,1.9272,2.65913,1.06749,0.96894,0.8477,0.80879,0.89179,0.42492,0.77182,0.71274,0.75139,0.24752,1.81611,2.87463,1.06472,1.00559,0.00116414,0.00116414,0.00116414
44,65.6798,1.95915,2.58987,1.01151,0.98315,0.87564,0.82747,0.91569,0.48391,0.84681,0.79479,0.8398,0.35839,1.66717,2.47118,0.90717,0.97797,0.00119031,0.00119031,0.00119031
45,66.9234,1.99356,2.45709,1.01043,0.95397,0.87564,0.82747,0.91569,0.48391,0.84681,0.79479,0.8398,0.35839,1.66717,2.47118,0.90717,0.97797,0.00121641,0.00121641,0.00121641
46,68.1751,1.93853,2.48699,1.08584,0.9843,0.90588,0.89483,0.93349,0.44453,0.93442,0.9176,0.96181,0.44443,1.81977,2.57757,0.9343,1.02104,0.00124246,0.00124246,0.00124246
47,69.5013,1.76831,2.41072,0.93888,0.98632,0.90588,0.89483,0.93349,0.44453,0.93442,0.9176,0.96181,0.44443,1.81977,2.57757,0.9343,1.02104,0.00126845,0.00126845,0.00126845
48,70.8335,1.90208,2.69396,0.94535,1.01616,0.89623,0.92417,0.93862,0.50017,0.90959,0.9355,0.95513,0.46714,1.63631,2.13752,0.8518,0.97087,0.00129438,0.00129438,0.00129438
49,72.1555,1.93404,2.48016,0.97964,0.98513,0.89623,0.92417,0.93862,0.50017,0.90959,0.9355,0.95513,0.46714,1.63631,2.13752,0.8518,0.97087,0.00132026,0.00132026,0.00132026
50,73.4561,1.85869,2.54471,0.95847,0.95712,0.80584,0.85274,0.89937,0.49491,0.78328,0.82038,0.8368,0.29432,1.60011,2.48017,0.91536,0.95411,0.00134608,0.00134608,0.00134608
51,74.7322,1.87859,2.64536,1.0506,0.97786,0.80584,0.85274,0.89937,0.49491,0.78328,0.82038,0.8368,0.29432,1.60011,2.48017,0.91536,0.95411,0.00135826,0.00135826,0.00135826
52,76.0681,1.8153,2.62016,0.95631,0.97831,0.90488,0.85276,0.93725,0.52503,0.83932,0.85656,0.88838,0.36077,1.51628,2.24996,0.86049,0.94186,0.00135685,0.00135685,0.00135685
53,77.3215,1.75579,2.5294,0.86524,0.94963,0.90488,0.85276,0.93725,0.52503,0.83932,0.85656,0.88838,0.36077,1.51628,2.24996,0.86049,0.94186,0.00135544,0.00135544,0.00135544
54,78.6022,1.62452,2.61927,0.94329,0.96382,0.88248,0.8981,0.91521,0.41815,0.87141,0.88459,0.87452,0.36399,1.88693,2.59636,0.92521,1.02099,0.00135402,0.00135402,0.00135402
55,79.8738,1.86904,2.39827,0.93071,1.00206,0.88248,0.8981,0.91521,0.41815,0.87141,0.88459,0.87452,0.36399,1.88693,2.59636,0.92521,1.02099,0.00135261,0.00135261,0.00135261
56,81.1291,1.96627,2.49942,0.91936,0.97242,0.88273,0.91589,0.95287,0.52402,0.85102,0.8856,0.89055,0.41263,1.52898,2.2804,0.80325,0.94026,0.00135119,0.00135119,0.00135119
57,82.3646,1.69633,2.46697,0.89002,0.94502,0.88273,0.91589,0.95287,0.52402,0.85102,0.8856,0.89055,0.41263,1.52898,2.2804,0.80325,0.94026,0.00134978,0.00134978,0.00134978
58,83.6271,1.60978,2.46352,0.88958,0.91805,0.85854,0.8751,0.91397,0.4702,0.82588,0.7976,0.79318,0.24818,1.67942,2.18151,0.84492,0.96791,0.00134836,0.00134836,0.00134836
59,84.8871,1.75466,2.15481,1.02626,0.96224,0.85854,0.8751,0.91397,0.4702,0.82588,0.7976,0.79318,0.24818,1.67942,2.18151,0.84492,0.96791,0.00134695,0.00134695,0.00134695
60,86.1595,1.73599,2.33022,1.01838,0.91146,0.7575,0.93142,0.90917,0.40347,0.67669,0.80802,0.75401,0.1965,1.78638,2.26641,0.90534,0.99487,0.00134553,0.00134553,0.00134553
61,87.39,1.82542,2.13263,0.93218,0.97451,0.7575,0.93142,0.90917,0.40347,0.67669,0.80802,0.75401,0.1965,1.78638,2.26641,0.90534,0.99487,0.00134412,0.00134412,0.00134412
62,88.7126,1.61367,2.27077,0.8386,0.91736,0.86829,0.92145,0.95496,0.5357,0.84978,0.896,0.90713,0.31801,1.55301,2.10577,0.77045,0.95401,0.0013427,0.0013427,0.0013427
